trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20160104,002594.SZ,64.4,64.4,58.4,58.76,64.4,-5.64,-8.76,114880.14,709177.5866
20160105,002594.SZ,55.8,60.61,55.8,59.35,58.76,0.59,1.0,166704.92,983037.0613
20160106,002594.SZ,59.5,60.78,59.37,60.42,59.35,1.07,1.8,98824.86,594339.8698
20160107,002594.SZ,59.0,59.47,55.0,55.41,60.42,-5.01,-8.29,41293.1,236717.5525
20160108,002594.SZ,58.0,60.68,56.7,59.43,55.41,4.02,7.26,203567.18,1201830.6845
20160111,002594.SZ,57.99,60.99,57.2,57.88,59.43,-1.55,-2.61,200493.5,1184370.7886
20160112,002594.SZ,58.75,60.18,57.95,59.82,57.88,1.94,3.35,153174.36,909233.3424
20160113,002594.SZ,60.48,61.3,57.36,57.36,59.82,-2.46,-4.11,148988.71,881214.0375
20160114,002594.SZ,56.5,59.98,56.3,59.9,57.36,2.54,4.43,146238.55,853221.3133
20160115,002594.SZ,59.01,59.8,57.02,58.05,59.9,-1.85,-3.09,109584.0,639074.9572
20160118,002594.SZ,57.01,58.6,56.52,57.68,58.05,-0.37,-0.64,105704.97,607753.5816
20160119,002594.SZ,57.5,59.1,56.98,58.87,57.68,1.19,2.06,137399.99,798925.2821
20160120,002594.SZ,59.0,59.7,57.1,57.74,58.87,-1.13,-1.92,113692.67,663507.6674
20160121,002594.SZ,57.1,58.3,56.0,56.02,57.74,-1.72,-2.98,115329.17,660993.1444
20160122,002594.SZ,56.2,56.85,53.4,55.16,56.02,-0.86,-1.54,123017.58,677639.106
20160125,002594.SZ,55.7,56.0,54.25,55.0,55.16,-0.16,-0.29,89777.12,494629.2683
20160126,002594.SZ,54.17,54.89,49.5,49.97,55.0,-5.03,-9.15,151616.15,787099.0756
20160127,002594.SZ,50.48,50.68,45.01,48.18,49.97,-1.79,-3.58,132860.38,632329.6575
20160128,002594.SZ,47.0,48.2,45.07,45.3,48.18,-2.88,-5.98,94022.02,439850.3734
20160129,002594.SZ,45.2,48.4,45.2,47.59,45.3,2.29,5.06,105753.49,494660.8506
20160201,002594.SZ,47.85,49.58,47.3,48.6,47.59,1.01,2.12,116492.75,567275.3911
20160202,002594.SZ,48.61,50.79,48.6,50.46,48.6,1.86,3.83,105173.34,528591.539
20160203,002594.SZ,50.39,50.68,49.73,50.41,50.46,-0.05,-0.1,66779.99,334550.9351
20160204,002594.SZ,51.0,52.3,50.71,51.21,50.41,0.8,1.59,71640.66,369396.7081
20160205,002594.SZ,51.5,51.9,50.01,50.07,51.21,-1.14,-2.23,65890.92,333300.4346
20160215,002594.SZ,48.19,50.47,47.9,50.0,50.07,-0.07,-0.14,52054.95,256365.4964
20160216,002594.SZ,50.25,52.63,50.25,52.08,50.0,2.08,4.16,80021.15,415262.2286
20160217,002594.SZ,52.2,54.98,52.2,53.81,52.08,1.73,3.32,129986.86,700028.0664
20160218,002594.SZ,54.61,54.76,53.1,53.25,53.81,-0.56,-1.04,67409.5,361546.2454
20160219,002594.SZ,53.9,55.25,53.5,54.29,53.25,1.04,1.95,93274.95,506556.6954
20160222,002594.SZ,55.2,55.5,54.01,54.51,54.29,0.22,0.41,109220.75,597064.4712
20160223,002594.SZ,54.76,55.71,54.05,54.7,54.51,0.19,0.35,99202.18,543904.058
20160224,002594.SZ,54.23,55.25,53.02,55.02,54.7,0.32,0.59,99757.6,541977.6448
20160225,002594.SZ,56.03,56.65,51.15,51.8,55.02,-3.22,-5.85,213720.12,1169319.5293
20160226,002594.SZ,52.81,53.09,51.22,52.35,51.8,0.55,1.06,88412.62,462164.3787
20160229,002594.SZ,53.1,53.3,49.0,50.51,52.35,-1.84,-3.51,124177.34,630542.5892
20160301,002594.SZ,50.54,51.88,50.08,51.54,50.51,1.03,2.04,80229.88,409803.5939
20160302,002594.SZ,51.09,54.21,51.09,53.9,51.54,2.36,4.58,118288.17,623608.1316
20160303,002594.SZ,54.0,54.92,53.55,53.58,53.9,-0.32,-0.59,97766.04,529712.8847
20160304,002594.SZ,53.41,55.0,52.75,53.7,53.58,0.12,0.22,115790.03,625504.3132
20160307,002594.SZ,54.53,54.99,53.62,53.95,53.7,0.25,0.47,68695.2,371520.5169
20160308,002594.SZ,54.0,54.0,51.55,53.11,53.95,-0.84,-1.56,77846.8,408570.936
20160309,002594.SZ,52.12,52.7,51.8,52.0,53.11,-1.11,-2.09,56794.26,296179.734
20160310,002594.SZ,52.0,52.45,51.25,51.5,52.0,-0.5,-0.96,52084.23,268636.2849
20160311,002594.SZ,51.4,52.1,50.62,51.26,51.5,-0.24,-0.47,40147.69,205633.4754
20160314,002594.SZ,52.1,54.0,51.62,53.33,51.26,2.07,4.04,97799.23,519334.8282
20160315,002594.SZ,53.2,55.49,53.2,54.44,53.33,1.11,2.08,161424.19,880730.7525
20160316,002594.SZ,54.62,54.75,52.9,53.0,54.44,-1.44,-2.65,86341.95,462486.0074
20160317,002594.SZ,53.68,55.3,53.28,55.06,53.0,2.06,3.89,143350.13,783634.2803
20160318,002594.SZ,55.06,57.39,55.06,56.95,55.06,1.89,3.43,150854.03,855458.1175
